순번,주제,설명
1,데이터 기반의 인사 평가 및 피드백 시스템 구축,"현재의 수동 평가 방식에서 발생하는 휴먼 에러를 줄이고, 성장에 도움이 되는 객관적인 피드백 문화를 정착시키기 위한 차세대 인사 평가 시스템"
2,AI 도입을 통한 테스트 업무 자동화 및 효율성 극대화,"반복적인 테스트 업무에 AI를 적용하여 공수를 획기적으로 절감하고, 엔지니어는 더 높은 가치를 창출하는 업무에 집중할 수 있는 환경 구축"
3,지능형 시험 업무 지원 플랫폼 'T-AI(타이)' 개발,"고객 문의부터 견적서 작성까지, 시험 관련 업무 과정을 자동화하여 업무 속도와 정확성을 혁신적으로 개선하는 AI 플랫폼"
4,실시간 스마트 자산 관리 시스템,"누락과 지연이 발생하기 쉬운 수동 자산 관리를 QR코드 등 실시간 시스템으로 전환하여, 자산 현황을 투명하게 파악하고 분실 위험을 최소화 하는 시스템"
5,AI 기반 지능형 경비 자동 결재 시스템 구축,"단순 반복적인 경비 결재는 AI에 맡기고, 담당자는 예외적인 상황 처리에만 집중하여 전사적인 업무 효율을 높이는 스마트 경비 처리 시스템"
6,업무 프로세스 누락 방지를 위한 스마트 알림 시스템,"기안서 작성 후 지출결의서를 잊거나, 필수 증빙 서류를 누락하는 등 업무 과정에서 발생할 수 있는 실수를 줄여주는 시스템"
7,법인카드 사용 내역 자동 점검 및 리포팅 시스템,"그룹웨어에 청구된 내역과 실제 카드사 청구 데이터를 자동으로 비교하여 불일치 항목을 찾아내고, 월별/팀별 리포트까지 생성하여 투명한 비용 관리를 지원하는 시스템"
8,AI 참여형 콘텐츠: '나만의 슈구리 만들기'로 사내 문화 활성화,"회사 마스코트 '슈구리'를 AI 기술을 통해 임직원들이 직접 디자인하고, 그 결과물이 대형 스크린에 전시되는 인터랙티브 콘텐츠 플랫폼"
9,AI 기반 결재 서류 사전 검토 시스템,"결재를 올리기 전, AI가 필수 서류나 서명 누락 등을 미리 체크하여 결재가 반려되는 상황을 사전에 방지하고, 불필요한 재작업을 줄여주는 앱"
10,프로젝트 투입률 자동 계산 및 실적 예측 시스템,"개인별, 팀별 프로젝트 투입률을 자동으로 계산하고 예상 실적을 예측하여, 전사적 자원 배분의 효율성을 높이고 국고 과제 참여 현황까지 통합 관리하는 시스템"